tr_9101_tr90022|ይህ ትምርት ቤት የቀኝ ክንፍ ሀይማኖቶችን አላማ የሚያራምድ በመሆኑ ኢትዮጵያንን አይሁዳውያን ናቸው ብሎ እንደማያምን ታውቋል
tr_9102_tr90023|የመተማ ገበሬዎች ለህወሀት ኩባንያዎች ምርት እንዲሸጡ እየተገደዱ ነው
tr_9103_tr90024|አሉባልተኞችስ ለሚያካሂዱት አፍራሽ ወሬ አንስተው ሲናገሩ እዚህ ያለነው ለማንም ጥላቻ የለንም
tr_9104_tr90025|አውሮፓውያንን ወክዬ መናገር አልችልም
tr_9105_tr90026|አረቦች ይህንን ግምት ውስጥ በማስገባት በውዝግቡ ውስጥ ገለልተኛ አቋም ሊያራምዱ እንደሚገባቸው ያመለክታል
tr_9106_tr90027|የኢትዮጵያ ወታደሮች ከኤርትራ እንዲወጡ ሶስት መቶ የሚሆኑ ኤርትራውያን ሰላማዊ ሰልፍ በማድረግ ሲጠይቁ ከኢትዮጵያኑ ሰለፈኞች ጋር ተጋጭተዋል
tr_9107_tr90028|የኢትዮጵያ ንግድ ባንክ አዲስ የብድር ፖሊሲና መመሪያ ሊያወጣ ነው
tr_9108_tr90029|ሁሉም በአንድ ሳምንት ሟሙተ ያዙ ተማረኩ የሞተው ሞተ
tr_9109_tr90030|ልደቱ አያሌው ትናንት ፍርድ ቤት ቀረቡ ዛሬም እንደገና ይቀርባሉ
tr_910_tr10011|ሱዳን የኢትዮጵያ ዲፕሎማሲያዊ ውክልና ወደ አምባሳደር ደረጃ እንዲያድግ ጠየቀች
tr_9110_tr90031|የሚያሳዝነው እንዲህ የሚያደርገውን መንግስት ነበር ዴሞክራት እያሉ ሲያሞካሹት የነበረው
tr_9111_tr90032|ትናንት ምሽት በበርሚንግ ሀም እንግሊዝ በተደረገው የሴቶች የቤት ውስጥ ሶስት ሺ ሜትር ውድድር ኢትዮጵያዊቷ ብርሀኔ አደሬ በአንደኝነት ጨርሳለች
tr_9112_tr90033|በተጨማሬ ደመአሄና ሳግም የተባሉት የሻእቢያ ተቃዋሚዎች በኢትዮጵያ መሬት ይንቀሳቀሳሉ
tr_9113_tr90034|አይሁዳውያኑ ለአንድ አመት የእብራይስጥ ቋንቋ እንዲማሩ እንደሚደረግና በቂ ቀለብና ወርሀዊ የገንዘብ ክፍያ ከእስራኤል መንግስት ተሰጥቷቸው ሀገሪቷን እየተዘዋወሩ እንደሚጐበኙ ገልጠዋል
tr_9114_tr90035|ከኢትዮጵያ ከተባረሩ ኤርትራውያን ላይ ሁለት መቶ ዘጠና አምስት ሚሊዮን ብር እዳ እንደሚፈለግ የኢትዮጵያ ንግድ ባንክ አስታወቀ 
tr_9115_tr90036|ከዚህም ሌላ ከሮማው ጳጳስ ዮሀንስ ጳውሎስ ሁለተኛ ጋር ተገናኝተው መነጋገራቸውንም የኤርትራ ራዲዮ ዘግቧል
tr_9116_tr90037|ወጣቷ ቤይሩት ውስጥ ታረደች
tr_9117_tr90038|ባሏ ታንቆ በመሞቱ ሊያጽናናት በሚችል ቋንቋ ሁሉ አይዞሽ እያሉ ተንከባከቧት
tr_9118_tr90039|እናም እርምጃቸውን ወደዚያው አፋጠኑ
tr_9119_tr90040|በኤርትራ ውስጥ የሚገኙ ኢትዮጵያን ሴቶች ከተቆነጃጁ በፖሊሶች ሊደፈሩ ስለሚችሉ ሴትነታቸውን ለመደበቅ እንደሚገደዱ በቡሬ በኩል መቀሌ የገቡ ሴቶች አጋለጡ
tr_911_tr10012|ስለዚህ ትናንት የተባለውን ማወቅ እፈለጋለሁ
tr_9120_tr90041|አጥፍቶም እንደሆን ተጫዋቹ ጥፋቱ ሊነገረው ይገባል
